"ID";NAME;TRADEDATE;OPEN;HIGH;LOW;CLOSE;VALUE;DURATION;YIELD
RTSTR;RTS Total Return Index;2016-11-18;1387.6;1387.6;1387.6;1387.6;0;;
RTSTR;RTS Total Return Index;2016-11-21;1421.37;1421.37;1421.37;1421.37;0;;
RTSTR;RTS Total Return Index;2016-11-22;1424.11;1424.11;1424.11;1424.11;0;;
RTSTR;RTS Total Return Index;2016-11-23;1424.27;1424.27;1424.27;1424.27;0;;
RTSTR;RTS Total Return Index;2016-11-24;1440.95;1440.95;1440.95;1440.95;0;;
RTSTR;RTS Total Return Index;2016-11-25;1426.45;1426.45;1426.45;1426.45;0;;
RTSTR;RTS Total Return Index;2016-11-28;1425.99;1425.99;1425.99;1425.99;0;;
RTSTR;RTS Total Return Index;2016-11-29;1408.68;1408.68;1408.68;1408.68;0;;
RTSTR;RTS Total Return Index;2016-11-30;1441.21;1441.21;1441.21;1441.21;0;;
RTSTR;RTS Total Return Index;2016-12-01;1466.96;1466.96;1466.96;1466.96;0;;
RTSTR;RTS Total Return Index;2016-12-02;1470.85;1470.85;1470.85;1470.85;0;;
RTSTR;RTS Total Return Index;2016-12-05;1497.31;1497.31;1497.31;1497.31;0;;
RTSTR;RTS Total Return Index;2016-12-06;1484.52;1484.52;1484.52;1484.52;0;;
RTSTR;RTS Total Return Index;2016-12-07;1494.01;1494.01;1494.01;1494.01;0;;
RTSTR;RTS Total Return Index;2016-12-08;1536.93;1536.93;1536.93;1536.93;0;;
RTSTR;RTS Total Return Index;2016-12-09;1554.78;1554.78;1554.78;1554.78;0;;
RTSTR;RTS Total Return Index;2016-12-12;1609.21;1609.21;1609.21;1609.21;0;;
RTSTR;RTS Total Return Index;2016-12-13;1631.01;1631.01;1631.01;1631.01;0;;
RTSTR;RTS Total Return Index;2016-12-14;1609.67;1609.67;1609.67;1609.67;0;;
RTSTR;RTS Total Return Index;2016-12-15;1594.62;1594.62;1594.62;1594.62;0;;
RTSTR;RTS Total Return Index;2016-12-16;1591.31;1591.31;1591.31;1591.31;0;;
RTSTR;RTS Total Return Index;2016-12-19;1583.6;1583.6;1583.6;1583.6;0;;
RTSTR;RTS Total Return Index;2016-12-20;1601.09;1601.09;1601.09;1601.09;0;;
RTSTR;RTS Total Return Index;2016-12-21;1598.76;1598.76;1598.76;1598.76;0;;
RTSTR;RTS Total Return Index;2016-12-22;1583.33;1583.33;1583.33;1583.33;0;;
RTSTR;RTS Total Return Index;2016-12-23;1572.25;1572.25;1572.25;1572.25;0;;
RTSTR;RTS Total Return Index;2016-12-26;1581.72;1581.72;1581.72;1581.72;0;;
RTSTR;RTS Total Return Index;2016-12-27;1601;1601;1601;1601;0;;
RTSTR;RTS Total Return Index;2016-12-28;1604.55;1604.55;1604.55;1604.55;0;;
RTSTR;RTS Total Return Index;2016-12-29;1613.41;1613.41;1613.41;1613.41;0;;
RTSTR;RTS Total Return Index;2016-12-30;1624.79;1624.79;1624.79;1624.79;0;;
RTSTR;RTS Total Return Index;2017-01-03;1676.94;1676.94;1676.94;1676.94;0;;
RTSTR;RTS Total Return Index;2017-01-04;1659.14;1659.14;1659.14;1659.14;0;;
RTSTR;RTS Total Return Index;2017-01-05;1664.24;1664.24;1664.24;1664.24;0;;
RTSTR;RTS Total Return Index;2017-01-06;1653.36;1653.36;1653.36;1653.36;0;;
RTSTR;RTS Total Return Index;2017-01-09;1635.98;1635.98;1635.98;1635.98;0;;
RTSTR;RTS Total Return Index;2017-01-10;1656.77;1656.77;1656.77;1656.77;0;;
RTSTR;RTS Total Return Index;2017-01-11;1629.61;1629.61;1629.61;1629.61;0;;
RTSTR;RTS Total Return Index;2017-01-12;1657.51;1657.51;1657.51;1657.51;0;;
RTSTR;RTS Total Return Index;2017-01-13;1633.4;1633.4;1633.4;1633.4;0;;
RTSTR;RTS Total Return Index;2017-01-16;1623.33;1623.33;1623.33;1623.33;0;;
RTSTR;RTS Total Return Index;2017-01-17;1630.98;1630.98;1630.98;1630.98;0;;
RTSTR;RTS Total Return Index;2017-01-18;1624.18;1624.18;1624.18;1624.18;0;;
RTSTR;RTS Total Return Index;2017-01-19;1602.98;1602.98;1602.98;1602.98;0;;
RTSTR;RTS Total Return Index;2017-01-20;1606.33;1606.33;1606.33;1606.33;0;;
RTSTR;RTS Total Return Index;2017-01-23;1604.47;1604.47;1604.47;1604.47;0;;
RTSTR;RTS Total Return Index;2017-01-24;1629.44;1629.44;1629.44;1629.44;0;;
RTSTR;RTS Total Return Index;2017-01-25;1635.66;1635.66;1635.66;1635.66;0;;
RTSTR;RTS Total Return Index;2017-01-26;1641.21;1641.21;1641.21;1641.21;0;;
RTSTR;RTS Total Return Index;2017-01-27;1686.33;1686.33;1686.33;1686.33;0;;
RTSTR;RTS Total Return Index;2017-01-30;1658.17;1658.17;1658.17;1658.17;0;;
RTSTR;RTS Total Return Index;2017-01-31;1641.96;1641.96;1641.96;1641.96;0;;
RTSTR;RTS Total Return Index;2017-02-01;1646.73;1646.73;1646.73;1646.73;0;;
RTSTR;RTS Total Return Index;2017-02-02;1652.21;1652.21;1652.21;1652.21;0;;
RTSTR;RTS Total Return Index;2017-02-03;1678.98;1678.98;1678.98;1678.98;0;;
RTSTR;RTS Total Return Index;2017-02-06;1662.23;1662.23;1662.23;1662.23;0;;
RTSTR;RTS Total Return Index;2017-02-07;1663.2;1663.2;1663.2;1663.2;0;;
RTSTR;RTS Total Return Index;2017-02-08;1642.67;1642.67;1642.67;1642.67;0;;
RTSTR;RTS Total Return Index;2017-02-09;1640.61;1640.61;1640.61;1640.61;0;;
RTSTR;RTS Total Return Index;2017-02-10;1642.05;1642.05;1642.05;1642.05;0;;
RTSTR;RTS Total Return Index;2017-02-13;1654.68;1654.68;1654.68;1654.68;0;;
RTSTR;RTS Total Return Index;2017-02-14;1655.81;1655.81;1655.81;1655.81;0;;
RTSTR;RTS Total Return Index;2017-02-15;1653.87;1653.87;1653.87;1653.87;0;;
RTSTR;RTS Total Return Index;2017-02-16;1658.83;1658.83;1658.83;1658.83;0;;
RTSTR;RTS Total Return Index;2017-02-17;1625.12;1625.12;1625.12;1625.12;0;;
RTSTR;RTS Total Return Index;2017-02-20;1622.55;1622.55;1622.55;1622.55;0;;
RTSTR;RTS Total Return Index;2017-02-21;1638.43;1638.43;1638.43;1638.43;0;;
RTSTR;RTS Total Return Index;2017-02-22;1616.38;1616.38;1616.38;1616.38;0;;
RTSTR;RTS Total Return Index;2017-02-24;1592.51;1592.51;1592.51;1592.51;0;;
RTSTR;RTS Total Return Index;2017-02-27;1575.87;1575.87;1575.87;1575.87;0;;
RTSTR;RTS Total Return Index;2017-02-28;1550.72;1550.72;1550.72;1550.72;0;;
RTSTR;RTS Total Return Index;2017-03-01;1564.73;1564.73;1564.73;1564.73;0;;
RTSTR;RTS Total Return Index;2017-03-02;1551.23;1551.23;1551.23;1551.23;0;;
RTSTR;RTS Total Return Index;2017-03-03;1563.13;1563.13;1563.13;1563.13;0;;
RTSTR;RTS Total Return Index;2017-03-06;1566.23;1566.23;1566.23;1566.23;0;;
RTSTR;RTS Total Return Index;2017-03-07;1547.87;1547.87;1547.87;1547.87;0;;
RTSTR;RTS Total Return Index;2017-03-09;1476.59;1476.59;1476.59;1476.59;0;;
RTSTR;RTS Total Return Index;2017-03-10;1489.32;1489.32;1489.32;1489.32;0;;
RTSTR;RTS Total Return Index;2017-03-13;1507.96;1507.96;1507.96;1507.96;0;;
RTSTR;RTS Total Return Index;2017-03-14;1500.27;1500.27;1500.27;1500.27;0;;
RTSTR;RTS Total Return Index;2017-03-15;1498.75;1498.75;1498.75;1498.75;0;;
RTSTR;RTS Total Return Index;2017-03-16;1546.25;1546.25;1546.25;1546.25;0;;
RTSTR;RTS Total Return Index;2017-03-17;1568.25;1568.25;1568.25;1568.25;0;;
RTSTR;RTS Total Return Index;2017-03-20;1581.66;1581.66;1581.66;1581.66;0;;
RTSTR;RTS Total Return Index;2017-03-21;1581.99;1581.99;1581.99;1581.99;0;;
RTSTR;RTS Total Return Index;2017-03-22;1584.16;1584.16;1584.16;1584.16;0;;
RTSTR;RTS Total Return Index;2017-03-23;1585.83;1585.83;1585.83;1585.83;0;;
RTSTR;RTS Total Return Index;2017-03-24;1586.26;1586.26;1586.26;1586.26;0;;
RTSTR;RTS Total Return Index;2017-03-27;1572.16;1572.16;1572.16;1572.16;0;;
RTSTR;RTS Total Return Index;2017-03-28;1587.56;1587.56;1587.56;1587.56;0;;
RTSTR;RTS Total Return Index;2017-03-29;1586.62;1586.62;1586.62;1586.62;0;;
RTSTR;RTS Total Return Index;2017-03-30;1604.03;1604.03;1604.03;1604.03;0;;
RTSTR;RTS Total Return Index;2017-03-31;1570.89;1570.89;1570.89;1570.89;0;;
RTSTR;RTS Total Return Index;2017-04-03;1583.89;1583.89;1583.89;1583.89;0;;
RTSTR;RTS Total Return Index;2017-04-04;1602.23;1602.23;1602.23;1602.23;0;;
RTSTR;RTS Total Return Index;2017-04-05;1625.52;1625.52;1625.52;1625.52;0;;
RTSTR;RTS Total Return Index;2017-04-06;1620.24;1620.24;1620.24;1620.24;0;;
RTSTR;RTS Total Return Index;2017-04-07;1570.45;1570.45;1570.45;1570.45;0;;
RTSTR;RTS Total Return Index;2017-04-10;1529.28;1529.28;1529.28;1529.28;0;;
RTSTR;RTS Total Return Index;2017-04-11;1538.9;1538.9;1538.9;1538.9;0;;
RTSTR;RTS Total Return Index;2017-04-12;1521.61;1521.61;1521.61;1521.61;0;;
RTSTR;RTS Total Return Index;2017-04-13;1536.66;1536.66;1536.66;1536.66;0;;
RTSTR;RTS Total Return Index;2017-04-14;1513.75;1513.75;1513.75;1513.75;0;;
RTSTR;RTS Total Return Index;2017-04-17;1543.54;1543.54;1543.54;1543.54;0;;
RTSTR;RTS Total Return Index;2017-04-18;1519.48;1519.48;1519.48;1519.48;0;;
RTSTR;RTS Total Return Index;2017-04-19;1507.26;1507.26;1507.26;1507.26;0;;
RTSTR;RTS Total Return Index;2017-04-20;1528.14;1528.14;1528.14;1528.14;0;;
RTSTR;RTS Total Return Index;2017-04-21;1529.29;1529.29;1529.29;1529.29;0;;
RTSTR;RTS Total Return Index;2017-04-24;1575.01;1575.01;1575.01;1575.01;0;;
RTSTR;RTS Total Return Index;2017-04-25;1581.09;1581.09;1581.09;1581.09;0;;
RTSTR;RTS Total Return Index;2017-04-26;1578.58;1578.58;1578.58;1578.58;0;;
RTSTR;RTS Total Return Index;2017-04-27;1561.38;1561.38;1561.38;1561.38;0;;
RTSTR;RTS Total Return Index;2017-04-28;1572.91;1572.91;1572.91;1572.91;0;;
RTSTR;RTS Total Return Index;2017-05-02;1581.08;1581.08;1581.08;1581.08;0;;
RTSTR;RTS Total Return Index;2017-05-03;1547.39;1547.39;1547.39;1547.39;0;;
RTSTR;RTS Total Return Index;2017-05-04;1526.3;1526.3;1526.3;1526.3;0;;
RTSTR;RTS Total Return Index;2017-05-05;1533.54;1533.54;1533.54;1533.54;0;;
RTSTR;RTS Total Return Index;2017-05-10;1570.21;1570.21;1570.21;1570.21;0;;
RTSTR;RTS Total Return Index;2017-05-11;1562;1562;1562;1562;0;;
RTSTR;RTS Total Return Index;2017-05-12;1553.41;1553.41;1553.41;1553.41;0;;
RTSTR;RTS Total Return Index;2017-05-15;1583.63;1583.63;1583.63;1583.63;0;;
RTSTR;RTS Total Return Index;2017-05-16;1573.69;1573.69;1573.69;1573.69;0;;
RTSTR;RTS Total Return Index;2017-05-17;1561.46;1561.46;1561.46;1561.46;0;;
RTSTR;RTS Total Return Index;2017-05-18;1522.58;1522.58;1522.58;1522.58;0;;
RTSTR;RTS Total Return Index;2017-05-19;1538.06;1538.06;1538.06;1538.06;0;;
RTSTR;RTS Total Return Index;2017-05-22;1532.16;1532.16;1532.16;1532.16;0;;
RTSTR;RTS Total Return Index;2017-05-23;1550.9;1550.9;1550.9;1550.9;0;;
RTSTR;RTS Total Return Index;2017-05-24;1537.83;1537.83;1537.83;1537.83;0;;
RTSTR;RTS Total Return Index;2017-05-25;1532.08;1532.08;1532.08;1532.08;0;;
RTSTR;RTS Total Return Index;2017-05-26;1517.63;1517.63;1517.63;1517.63;0;;
RTSTR;RTS Total Return Index;2017-05-29;1535.61;1535.61;1535.61;1535.61;0;;
RTSTR;RTS Total Return Index;2017-05-30;1520.13;1520.13;1520.13;1520.13;0;;
RTSTR;RTS Total Return Index;2017-05-31;1489.71;1489.71;1489.71;1489.71;0;;
RTSTR;RTS Total Return Index;2017-06-01;1478.86;1478.86;1478.86;1478.86;0;;
RTSTR;RTS Total Return Index;2017-06-02;1479.42;1479.42;1479.42;1479.42;0;;
RTSTR;RTS Total Return Index;2017-06-05;1477.34;1477.34;1477.34;1477.34;0;;
RTSTR;RTS Total Return Index;2017-06-06;1472.94;1472.94;1472.94;1472.94;0;;
RTSTR;RTS Total Return Index;2017-06-07;1463.15;1463.15;1463.15;1463.15;0;;
RTSTR;RTS Total Return Index;2017-06-08;1469.07;1469.07;1469.07;1469.07;0;;
RTSTR;RTS Total Return Index;2017-06-09;1473.46;1473.46;1473.46;1473.46;0;;
RTSTR;RTS Total Return Index;2017-06-13;1476.74;1476.74;1476.74;1476.74;0;;
RTSTR;RTS Total Return Index;2017-06-14;1444.47;1444.47;1444.47;1444.47;0;;
RTSTR;RTS Total Return Index;2017-06-15;1413.38;1413.38;1413.38;1413.38;0;;
